region,rajon,fio,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
Минская,Березинский,Дмитриев А.В.,,,,,,,,,,,
Минская,Березинский,Канопацкая А.А.,16,,16,3,,,,3,,,16
Минская,Березинский,Лукашенко А.Г.,8505,73,8432,1773,7,,,1773,7,,8425
Минская,Березинский,Тихановская С.Г.,,,,,,,,,,,
Минская,Березинский,Цепкало В.В.,,,,,,,,,,,
Минская,Березинский,Черечень С.В.,,,,,,,,,,,
Минская,Борисовский,Бабарико В.Д.,4509,194,4315,906,244,647,170,1553,414,4315,
Минская,Борисовский,Дмитриев А.В.,56,1,55,12,,,,12,,,55
Минская,Борисовский,Канопацкая А.А.,209,9,200,42,,,,42,,,200
Минская,Борисовский,Лукашенко А.Г.,21427,301,21126,4436,1,,,4436,1,,21125
Минская,Борисовский,Тихановская С.Г.,1439,,1439,303,29,,,303,29,,1410
Минская,Борисовский,Цепкало В.В.,2531,36,2495,524,143,374,91,898,234,2495,
Минская,Борисовский,Черечень С.В.,2412,43,2369,497,29,,,497,29,,2340
Минская,Червенский,Бабарико В.Д.,4,,4,1,,,,1,,,4
Минская,Червенский,Дмитриев А.В.,,,,,,,,,,,
Минская,Червенский,Канопацкая А.А.,9,,9,2,,,,2,,,9
Минская,Червенский,Лукашенко А.Г.,12564,31,12533,2640,8,,,2640,8,8,12525
Минская,Червенский,Тихановская С.Г.,,,,,,,,,,,
Минская,Червенский,Цепкало В.В.,,,,,,,,,,,
Минская,Червенский,Черечень С.В.,,,,,,,,,,,
Минская,Дзержинский,Бабарико В.Д.,4926,386,4540,908,,,,908,,,4540
Минская,Дзержинский,Дмитриев А.В.,2151,17,2134,427,2,,,427,2,,2132
Минская,Дзержинский,Канопацкая А.А.,109,1,108,22,,,,22,,,108
Минская,Дзержинский,Лукашенко А.Г.,12028,7,12021,2405,3,,,2405,3,,12018
Минская,Дзержинский,Тихановская С.Г.,1146,10,1136,228,2,,,228,2,,1134
Минская,Дзержинский,Цепкало В.В.,1300,24,1276,256,6,,,256,6,,1270
Минская,Дзержинский,Черечень С.В.,458,2,456,92,3,,,92,3,,453
Минская,Клецкий,Бабарико В.Д.,446,22,424,89,2,,,89,2,22,422
Минская,Клецкий,Дмитриев А.В.,,,,,,,,,,,
Минская,Клецкий,Канопацкая А.А.,,,,,,,,,,,
Минская,Клецкий,Лукашенко А.Г.,9526,23,9503,1996,3,,,1996,3,23,9500
